gender,tenure_month,n_obs,median_salary,mean_salary
F,0,1046763,422910.0,571038.449705309
M,0,1799402,463626.8333333333,752464.1012380456
F,1,809436,428404.1666666667,662900.7644290064
M,1,1472185,496744.1666666667,819254.849651175
F,2,643141,432036.6666666667,715194.5942975337
M,2,1195703,522035.0833333333,878428.5261130786
F,3,546531,443468.1666666667,752084.8889720314
M,3,1000127,542273.1666666666,929168.1992403279
F,4,486856,455999.6666666667,783913.3509084794
M,4,866912,559000.0,959429.4010964903
F,5,448421,463255.5,805870.4744791508
M,5,780510,570311.5,992402.758294859
F,6,415494,475108.3333333333,828751.733204103
M,6,710755,584862.0833333334,1024631.9044951891
F,7,390008,481082.6666666667,844215.6669061432
M,7,655836,593139.75,1049503.7424605195
F,8,370472,484691.8333333333,856217.4065002598
M,8,613673,599841.8333333334,1068923.3360972283
F,9,353104,486735.0,863810.285908226
M,9,572455,606817.1666666666,1085460.805576413
F,10,340238,489149.6666666667,873117.061957007
M,10,534865,614807.1666666666,164095848.39625216
F,11,327374,490535.5,877834.8337110092
M,11,503901,620302.5,1122994.7165008578
F,12,331587,499014.5833333333,896300.4559068561
M,12,501499,625978.5833333334,1156607.1005712545
F,13,312755,504684.9166666667,906549.7106537983
M,13,472305,627985.5,1171934.8816342966
F,14,295314,512520.4166666667,926893.9311893363
M,14,448091,638199.1666666666,1192710.413731363
F,15,268213,511546.25,913395.8473060263
M,15,406990,635690.0,1175969.2973672214
F,16,253617,511647.8333333333,913952.860346995
M,16,375238,633900.9166666666,1177288.9640084747
F,17,245554,516383.1666666667,925552.2979260889
M,17,358029,642934.4166666666,1194334.9518481279
F,18,235603,524328.3333333334,935978.0793255557
M,18,341523,647445.75,1208868.317887647
F,19,226218,519861.6666666667,939859.8667563684
M,19,324115,650446.8333333334,1219727.766278778
F,20,217020,523747.0,948418.4731097382
M,20,310064,657869.1666666666,1233149.6539387633
F,21,214241,521958.1666666667,955697.7535439907
M,21,300368,661506.1666666666,1247083.819223634
F,22,207400,525359.1666666666,960857.5652720955
M,22,289559,655157.8333333334,1247691.0169378016
F,23,199143,527548.75,961324.164930809
M,23,275503,656229.75,1255789.9823121207
F,24,190466,527402.0833333334,958302.4306868789
M,24,263378,660018.5,1276535.106045412
F,25,177858,528640.25,954197.1083040389
M,25,246807,668106.4166666666,1288310.341508704
F,26,171272,531793.75,964505.219669565
M,26,236992,670414.75,1305878.9954413667
F,27,158218,522000.0833333333,949831.2957930792
M,27,215359,662170.3333333334,1286894.1793829554
F,28,147602,518835.1666666667,944495.5839572033
M,28,198553,662245.75,1279322.5185279117
F,29,141613,523060.25,951210.8378967617
M,29,189366,668491.5,1290046.3413239655
F,30,135707,526747.0833333334,961386.6359715459
M,30,180247,671345.25,1309370.7114621962
F,31,132077,528387.5,967139.0040536275
M,31,174553,676295.25,1319675.4671691542
F,32,124464,537575.25,987643.8304052638
M,32,167370,680923.9166666666,1335430.2016761627
F,33,120366,541226.5833333334,989148.7987987709
M,33,161957,685333.0833333334,1339468.2143608755
F,34,118475,537359.6666666666,987610.821877762
M,34,154979,690124.1666666666,1353207.9451339717
F,35,115050,539145.1666666666,985324.352181394
M,35,150122,693894.4166666666,1353264.6920276326
F,36,123897,571392.5,1039984.7134218528
M,36,154505,703226.9166666666,1430062.1054571704
F,37,121878,584146.25,1072798.6819528113
M,37,151787,708574.25,1458758.9229407413
F,38,115097,590487.25,1081915.436620355
M,38,144638,711051.5833333334,1468905.74285016
F,39,100850,603480.6666666666,1066101.1366051114
M,39,128415,711536.25,1441253.9080939519
F,40,87806,565111.6666666666,1016722.2544817284
M,40,108397,692601.0833333334,1407613.5308092467
F,41,84608,573306.75,1025170.848052854
M,41,103627,700065.4166666666,1426270.6976812875
F,42,82865,577937.8333333334,1032702.4822164689
M,42,101813,698687.75,1430437.7833971933
F,43,80078,578015.5833333334,1037591.2426476515
M,43,98700,698577.25,1435335.0657147567
F,44,77920,573736.5833333334,1036195.0640373316
M,44,95209,704421.75,1444231.1857104148
F,45,76503,572367.3333333334,1037883.8957428124
M,45,92076,707762.9166666666,1453359.4286599196
F,46,74233,582224.6666666666,1046078.9150114646
M,46,88875,718343.5833333334,1466382.1466693177
F,47,72404,587160.3333333334,1050894.1980674025
M,47,85495,727390.3333333334,1483702.8734175204
F,48,70302,606270.8333333334,1059560.4024723016
M,48,85499,715793.8333333334,1485489.2190958413
F,49,67521,611822.3333333334,1061900.969801423
M,49,82332,714608.8333333334,1485341.5135985417
F,50,66580,628383.3333333334,1079208.868844907
M,50,80587,719092.0833333334,1494727.3609624873
F,51,62211,614779.4166666666,1064214.5719524464
M,51,74337,716887.0,1477079.605544563
F,52,58338,586804.5833333334,1041152.9156619014
M,52,66235,724148.5,1477676.3776377933
F,53,57032,584483.25,1042267.7513529226
M,53,65226,717142.8333333334,1480515.787137723
F,54,53933,590709.1666666666,1044521.0315124581
M,54,61421,719100.0,1484561.1326958244
F,55,52145,594520.6666666666,1046813.0121716291
M,55,58980,718375.0833333334,1486428.9038879464
F,56,50768,600907.75,1052286.7445664662
M,56,56292,740327.4166666666,1499005.9206093838
F,57,49532,615087.6666666666,1055412.4739449327
M,57,55313,754963.75,1507098.0749778312
F,58,48890,604589.4166666666,1054859.1955881394
M,58,53173,747142.5,1506743.269972375
F,59,47879,601107.75,1053577.0386344353
M,59,51629,747497.0,1513794.8965211783
F,60,49891,605814.75,1076749.9418925655
M,60,52057,750995.0833333334,1573745.6665241641
